No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Layout,Use VStack for vertical layout,Layout containers,VStack for vertical views,HStack with rotation,VStack { Text("Hello") Text("World") },HStack { Text("Hello") Text("World") }.rotationEffect(.degrees(-90)),Medium,https://developer.apple.com/documentation/swiftui/vstack
12,Layout,Use ZStack for overlay layout,Layout containers,ZStack for layered views,Multiple backgrounds,ZStack { Color.red Text("Hello") },Text("Hello").background(Color.red).background(Color.blue),Medium,https://developer.apple.com/documentation/swiftui/zstack
13,Layout,Use LazyVStack/LazyHStack for long lists,Performance optimization,Lazy stacks for scrollable content,Regular stacks for long lists,ScrollView { LazyVStack { ForEach(items) { item in Text(item) } } },ScrollView { VStack { ForEach(items) { item in Text(item) } } },Medium,https://developer.apple.com/documentation/swiftui/lazyvstack
14,Layout,Use Grid for grid layouts,Grid layouts,Grid for 2D layouts,Manual HStack/VStack combinations,Grid { GridRow { Text("1") Text("2") } GridRow { Text("3") Text("4") } },VStack { HStack { Text("1") Text("2") } HStack { Text("3") Text("4") } },Medium,https://developer.apple.com/documentation/swiftui/grid
15,Layout,Use Spacer for flexible spacing,Spacing,Spacer for flexible space,Fixed spacing, HStack { Text("Left") Spacer() Text("Right") },HStack { Text("Left") Text(" ") Text("Right") },Medium,https://developer.apple.com/documentation/swiftui/spacer
16,Navigation,Use NavigationStack for navigation,Navigation container,NavigationStack for iOS 16+,NavigationView for iOS 16+,NavigationStack { /* ... */ },NavigationView { /* ... */ } on iOS 16+,Medium,https://developer.apple.com/documentation/swiftui/navigationstack
17,Navigation,Use NavigationLink for navigation links,Navigation links,NavigationLink for push navigation,Manual presentation,NavigationLink(destination: DetailView()) { Text("Go to Detail") },Button(action: { /* manual navigation */ }) { Text("Go to Detail") },Medium,https://developer.apple.com/documentation/swiftui/navigationlink
18,Navigation,Use sheet for modal presentation,Modals,Sheet for modal views,Present modals manually, .sheet(isPresented: $showModal) { ModalView() },UIViewController.present() manually,Medium,https://developer.apple.com/documentation/swiftui/view/sheet(item:content:)
19,Navigation,Use fullScreenCover for full-screen modals,Full-screen modals,fullScreenCover for immersive modals,sheet for full screen,.fullScreenCover(isPresented: $showModal) { FullScreenView() },.sheet(isPresented: $showModal) { FullScreenView() },Medium,https://developer.apple.com/documentation/swiftui/view/fullscreencover(item:content:)
20,Lists,Use List for scrollable lists,List views,List for scrollable content,ScrollView with VStack,List(items) { item in Text(item) },ScrollView { VStack { ForEach(items) { item in Text(item) } } },Medium,https://developer.apple.com/documentation/swiftui/list
21,Lists,Use ForEach for dynamic content,Dynamic content,ForEach for collections,VStack with manual loops,ForEach(items) { item in Text(item) },VStack { items.map { Text($0) } },Medium,https://developer.apple.com/documentation/swiftui/foreach
22,Lists,Use identifiable data,Identifiable items,Identifiable protocol for list items,Manual id: self,struct Item: Identifiable { let id = UUID() var name: String },ForEach(items, id: self) { item in Text(item) },High,https://developer.apple.com/documentation/swiftui/identifiable
23,Forms,Use Form for data entry,Form layout,Form for settings/input,Manual VStack with spacing,Form { /* form elements */ },VStack(spacing: 20) { /* form elements */ },Medium,https://developer.apple.com/documentation/swiftui/form
24,Forms,Use Section for grouped content,Form sections,Section for form groups,No grouping,Section { /* grouped content */ },/* no section */,Medium,https://developer.apple.com/documentation/swiftui/section
25,Forms,Use TextField for text input,Text input,TextField for text fields,UITextField manually,TextField("Name", text: $name),UITextField(),Medium,https://developer.apple.com/documentation/swiftui/textfield
26,Forms,Use SecureField for passwords,Secure input,SecureField for passwords,TextField with secure text entry,SecureField("Password", text: $password),TextField("Password", text: $password).textContentType(.password),Medium,https://developer.apple.com/documentation/swiftui/securefield
27,Forms,Use Toggle for booleans,Boolean input,Toggle for switches,Custom switches,Toggle("Remember me", isOn: $rememberMe),/* custom switch component */,Medium,https://developer.apple.com/documentation/swiftui/toggle
28,Forms,Use Picker for selections,Selection input,Picker for dropdown/segmented controls,Custom pickers,Picker("Color", selection: $color) { /* options */ },/* custom picker component */,Medium,https://developer.apple.com/documentation/swiftui/picker
29,Styling,Use modifiers for styling,View modifiers,Chained modifiers for styling,Separate styling objects,Text("Hello").font(.largeTitle).foregroundColor(.red),let style = TextStyle() /* custom */; Text("Hello", style: style),High,https://developer.apple.com/documentation/swiftui/view
30,Styling,Use Color for colors,Color handling,SwiftUI Color for all colors,UIColor for all colors,Color.red,UIColor.red,Medium,https://developer.apple.com/documentation/swiftui/color
31,Styling,Use Font for typography,Typography,SwiftUI Font for all fonts,UIFont for all fonts,Font.largeTitle,Font.custom("System", size: 24),Medium,https://developer.apple.com/documentation/swiftui/font
32,Styling,Use padding for spacing,Spacing,Padding for all spacing,Fixed frame adjustments,Text("Hello").padding(16),Text("Hello").frame(height: 40),Medium,https://developer.apple.com/documentation/swiftui/view/padding(_:)
33,Styling,Use background for backgrounds,Backgrounds,Background modifier for backgrounds,Layered views,Text("Hello").background(Color.red),Color.red.overlay(Text("Hello")),Medium,https://developer.apple.com/documentation/swiftui/view/background(_:alignment:)
34,Animations,Use withAnimation for animations,Animations,withAnimation for animated updates,Manual animations,withAnimation { count += 1 },UIView.animate() manually,Medium,https://developer.apple.com/documentation/swiftui/withanimation(_:_:)
35,Animations,Use .animation() modifier,Implicit animations,.animation() for implicit animations,No animation,Text("Hello").scaleEffect(scale).animation(.easeInOut),Text("Hello").scaleEffect(scale),Medium,https://developer.apple.com/documentation/swiftui/view/animation(_:value:)
36,Animations,Use .transition() for transitions,Transitions,.transition() for view transitions,No transition,Text("Hello").transition(.slide),Text("Hello"),Medium,https://developer.apple.com/documentation/swiftui/view/transition(_:)
37,Animations,Use .onAppear for entry animations,Entry animations,.onAppear for animations on appear,No entry animation,Text("Hello").opacity(opacity).onAppear { withAnimation { opacity = 1 } },Text("Hello"),Medium,https://developer.apple.com/documentation/swiftui/view/onappear(perform:)
38,Environment,Use @Environment for system values,System environment,@Environment for system settings,Manual system calls,@Environment(\.colorScheme) private var colorScheme,UITraitCollection.current.userInterfaceStyle,Medium,https://developer.apple.com/documentation/swiftui/environment
39,Environment,Use @Environment for presentation values,Presentation environment,@Environment for presentation settings,Manual presentation calls,@Environment(\.dismiss) private var dismiss,UINavigationController.popViewController(animated:),Medium,https://developer.apple.com/documentation/swiftui/environmentvalues/dismiss
40,Accessibility,Use .accessibilityLabel for labels,Accessibility labels,.accessibilityLabel for screen readers,No labels,Button(action: {}) { Image(systemName: "heart") }.accessibilityLabel("Like"),Button(action: {}) { Image(systemName: "heart") },High,https://developer.apple.com/documentation/swiftui/view/accessibilitylabel(_:)
41,Accessibility,Use .accessibilityHint for hints,Accessibility hints,.accessibilityHint for additional info,No hints,Button(action: {}) { Text("Delete") }.accessibilityHint("Permanently deletes the item"),Button(action: {}) { Text("Delete") },Medium,https://developer.apple.com/documentation/swiftui/view/accessibilityhint(_:)
42,Accessibility,Use .accessibilityIdentifier for testing,Testing identifiers,.accessibilityIdentifier for UI tests,No identifiers,Button(action: {}) { Text("Submit") }.accessibilityIdentifier("submitButton"),Button(action: {}) { Text("Submit") },Medium,https://developer.apple.com/documentation/swiftui/view/accessibilityidentifier(_:)
43,Accessibility,Use .accessibilityValue for dynamic values,Accessibility values,.accessibilityValue for dynamic content,No dynamic values,Text("$\(amount)").accessibilityValue("$\(amount)
44,Accessibility,Use .accessibilityHidden for hidden elements,Hidden accessibility,.accessibilityHidden for non-essential elements,No accessibility hiding,Image(systemName: "decorative").accessibilityHidden(true),Image(systemName: "decorative"),Medium,https://developer.apple.com/documentation/swiftui/view/accessibilityhidden(_:)
45,Performance,Use .equatable() for optimized views,Performance optimization,.equatable() for view optimization,No optimization,struct MyView: View, Equatable { /* ... */ },struct MyView: View { /* ... */ },Medium,https://developer.apple.com/documentation/swiftui/view/equatable()
46,Performance,Use .task for async tasks,Async operations,.task for async loading,DispatchQueue.main.async,.task { data = await fetchData() },DispatchQueue.main.async { data = fetchData() },Medium,https://developer.apple.com/documentation/swiftui/view/task(priority:_:)
47,Performance,Use .onDisappear for cleanup,Cleanup operations,.onDisappear for cleanup,onDeinit,.onDisappear { cancellables.removeAll() },deinit { /* cleanup */ },Medium,https://developer.apple.com/documentation/swiftui/view/ondisappear(perform:)
48,Performance,Use .clipped() for overflow prevention,Overflow handling,.clipped() for contained views,No clipping,Image("large").frame(width: 100, height: 100).clipped(),Image("large").frame(width: 100, height: 100),Medium,https://developer.apple.com/documentation/swiftui/view/clipped(antialiased:)
49,Performance,Use .drawingGroup() for complex views,Render optimization,.drawingGroup() for many layers,No optimization,ComplexView().drawingGroup(),ComplexView(),Medium,https://developer.apple.com/documentation/swiftui/view/drawinggroup(opaque:colorspace:)
50,Testing,Use XCTest for unit tests,Unit testing,XCTest for SwiftUI tests,No testing,func testExample() { /* ... */ },No test files,Medium,https://developer.apple.com/documentation/xctest
