No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
18,State Management,Use Redux Toolkit for large state,Scalable state management,Redux Toolkit for large apps,Vanilla Redux,import { configureStore } from '@reduxjs/toolkit'; const store = configureStore({ reducer: rootReducer });,Vanilla Redux with handwritten reducers,Medium,https://redux-toolkit.js.org/
19,Networking,Use fetch or Axios,API calls,fetch or Axios for API requests,Custom HTTP clients,const response = await fetch('https://api.example.com'); const data = await response.json();,Custom XMLHttpRequest wrapper,Medium,https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API/Using_Fetch
20,Networking,Use React Query for async state,Async data management,React Query for API state,Fetch + useState/useEffect,import { useQuery } from '@tanstack/react-query'; const { data } = useQuery({ queryKey: ['data'], queryFn: fetchData });,const [data, setData] = useState(null); useEffect(() => { fetchData().then(setData); }, []);,Medium,https://tanstack.com/query/v4/docs/react/overview
21,Storage,Use AsyncStorage for local storage,Local persistence,AsyncStorage for key-value storage,LocalStorage or custom storage,import AsyncStorage from '@react-native-async-storage/async-storage'; await AsyncStorage.setItem('key', 'value');,localStorage.setItem('key', 'value');,High,https://react-native-async-storage.github.io/async-storage/docs/usage/
22,Storage,Use Realm or SQLite for databases,Local databases,Realm or SQLite for structured data,AsyncStorage for complex data,import Realm from 'realm'; const realm = await Realm.open({ schema: [TaskSchema] });,AsyncStorage.setItem('tasks', JSON.stringify(tasks));,Medium,https://www.mongodb.com/docs/realm/sdk/react-native/
23,Images,Use Image component,Image handling,Image for all images,Custom image components,import { Image } from 'react-native'; <Image source={{ uri: 'https://example.com/image.jpg' }} style={{ width: 200, height: 200 }} />,Custom ImageWithCache component,Medium,https://reactnative.dev/docs/image
24,Images,Use ImageBackground for backgrounds,Background images,ImageBackground for background images,Image + absolute positioning,import { ImageBackground } from 'react-native'; <ImageBackground source={{ uri: 'https://example.com/image.jpg' }} style={{ width: '100%', height: '100%' }} />,<Image source={{ uri: 'https://example.com/image.jpg' }} style={{ position: 'absolute', width: '100%', height: '100%' }} />,Medium,https://reactnative.dev/docs/imagebackground
25,Forms,Use React Hook Form,Form handling,React Hook Form for form state,Manual form state management,import { useForm } from 'react-hook-form'; const { register, handleSubmit } = useForm();,const [formData, setFormData] = useState({}); const handleChange = (name, value) => setFormData({ ...formData, [name]: value });,Medium,https://react-hook-form.com/
26,Forms,Use Yup for validation,Form validation,Yup for schema validation,Manual validation,import { yupResolver } from '@hookform/resolvers/yup'; const resolver = yupResolver(schema);,const validate = (data) => { /* manual validation */ };,Medium,https://github.com/jquense/yup
27,Testing,Use Jest + React Native Testing Library,Unit testing,Jest + RN Testing Library for components,Mocks for everything,import { render, fireEvent } from '@testing-library/react-native'; test('renders', () => { const { getByText } = render(<MyComponent />); fireEvent.press(getByText('Press')); });,Manual component testing,Medium,https://callstack.github.io/react-native-testing-library/
28,Testing,Use Detox for E2E,End-to-end testing,Detox for mobile E2E tests,No E2E testing,detox test --configuration ios.sim.debug,No E2E tests,Medium,https://wix.github.io/Detox/
29,Permissions,Use React Native Permissions,Permission handling,React Native Permissions for all permissions,Custom permission handling,import { check, request } from 'react-native-permissions'; const result = await request(PERMISSIONS.ANDROID.CAMERA);,Custom NativeModules for permissions,High,https://github.com/zoontek/react-native-permissions
30,Notifications,Use Notifee,Local notifications,Notifee for local notifications,Custom notification handling,import notifee from '@notifee/react-native'; await notifee.displayNotification({ title: 'Hello', body: 'World' });,Custom NativeModules for notifications,Medium,https://notifee.app/react-native/docs/overview
31,Internationalization,Use i18next,Multi-language support,i18next for internationalization,Hardcoded strings,import { useTranslation } from 'react-i18next'; const { t } = useTranslation(); t('hello');,const text = 'Hello';,Medium,https://react.i18next.com/
32,Animations,Use Animated API,React Native animations,Animated for smooth animations,setInterval for animations,import { Animated } from 'react-native'; const fadeAnim = useRef(new Animated.Value(0)).current; Animated.timing(fadeAnim, { toValue: 1, duration: 1000 }).start();,setInterval(() => { /* update style */ }, 16);,Medium,https://reactnative.dev/docs/animated
33,Animations,Use Reanimated for complex animations,Performance animations,Reanimated 2/3 for complex animations,Animated API for everything,import Animated, { useAnimatedStyle, withSpring } from 'react-native-reanimated'; const animatedStyle = useAnimatedStyle(() => ({ transform: [{ scale: withSpring(1) }] }));,Animated.timing for complex animations,Medium,https://docs.swmansion.com/react-native-reanimated/
34,Error Handling,Use Error Boundaries,React error handling,ErrorBoundary for catching errors,No error boundaries,import { ErrorBoundary } from 'react-error-boundary'; <ErrorBoundary FallbackComponent={ErrorFallback}>{/* ... */}</ErrorBoundary>,No error boundary wrapping,Medium,https://github.com/bvaughn/react-error-boundary
35,Security,Use HTTPS,Secure connections,HTTPS for all network requests,HTTP in production,const response = await fetch('https://api.example.com');,const response = await fetch('http://api.example.com');,High,https://developer.mozilla.org/en-US/docs/Web/Security/HTTP_strict_transport_security
36,Security,Use secure storage for secrets,Secure secret management,React Native Keychain for secrets,AsyncStorage for secrets,import * as Keychain from 'react-native-keychain'; await Keychain.setGenericPassword('username', 'password');,await AsyncStorage.setItem('password', 'secret');,High,https://github.com/oblador/react-native-keychain
37,Accessibility,Use accessibilityLabel,Accessibility,accessibilityLabel for interactive elements,No accessibility labels,<TouchableOpacity accessibilityLabel="Press me" onPress={() => {}} />,<TouchableOpacity onPress={() => {}} />,High,https://reactnative.dev/docs/accessibility
38,Accessibility,Use accessibilityRole,Accessibility roles,accessibilityRole for semantic meaning,No accessibility roles,<TouchableOpacity accessibilityRole="button" onPress={() => {}} />,<TouchableOpacity onPress={() => {}} />,High,https://reactnative.dev/docs/accessibility#accessibilityrole
39,Accessibility,Use accessible prop,Accessibility enablement,accessible={true} for interactive elements,No accessible prop,<View accessible={true} />,<View />,High,https://reactnative.dev/docs/accessibility#accessible
40,Development,Use Metro Config for customization,Build configuration,metro.config.js for custom metro settings,No metro configuration,module.exports = { transformer: { /* custom */ } };,Default metro.config.js,Medium,https://reactnative.dev/docs/metro
41,Development,Use ESLint + Prettier,Code quality,ESLint + Prettier for code style,No linting/formatting,"scripts": { "lint": "eslint .", "format": "prettier --write ." },No lint/format scripts,Medium,https://eslint.org/ + https://prettier.io/
42,Development,Use TypeScript,Type safety,TypeScript for type safety,JavaScript only,"types": true in tsconfig.json,No TypeScript configuration,High,https://reactnative.dev/docs/typescript
43,Performance,Use Hermes,JavaScript engine,Hermes for improved performance,No Hermes,hermesEnabled: true in app.json,hermesEnabled: false,High,https://reactnative.dev/docs/hermes
44,Performance,Use Code Splitting,Bundle optimization,Code splitting for smaller bundles,Monolithic bundle,import('module').then(module => module.default()),No dynamic imports,Medium,https://react.dev/reference/react/lazy
45,Performance,Use Image caching,Image optimization,React Native Fast Image for cached images,No image caching,import FastImage from 'react-native-fast-image'; <FastImage source={{ uri: 'https://example.com/image.jpg' }} style={{ width: 200, height: 200 }} />,<Image source={{ uri: 'https://example.com/image.jpg' }} style={{ width: 200, height: 200 }} />,Medium,https://github.com/DylanVann/react-native-fast-image
