No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Hooks,Clean up effects,Effect cleanup,Return cleanup function from useEffect,Memory leaks from subscriptions,import { useEffect } from 'react'; useEffect(() => { const sub = subscribe(); return () => sub.unsubscribe(); }, []);,useEffect(() => { const sub = subscribe(); }, []);,High,https://react.dev/reference/react/useEffect
12,State Management,Use React Context for simple global state,Context API,Context for shared state,Redux for all state,const MyContext = React.createContext(); const MyProvider = ({ children }) => { const [state, setState] = useState(initial); return <MyContext.Provider value={{ state, setState }}>{children}</MyContext.Provider>; };,Redux store with reducers for simple state,Medium,https://react.dev/learn/passing-data-deeply-with-context
13,State Management,Use Zustand for medium state,Lightweight state, Zustand for medium apps,Redux for all state,import { create } from 'zustand'; const useStore = create((set) => ({ count: 0, increment: () => set((state) => ({ count: state.count + 1 })) }));,Redux with multiple reducers for medium state,Medium,https://zustand-demo.pmnd.rs/
14,State Management,Use Redux Toolkit for large state,Scalable state,Redux Toolkit for large apps,Vanilla Redux,import { configureStore } from '@reduxjs/toolkit'; const store = configureStore({ reducer: rootReducer });,Vanilla Redux with handwritten reducers,Medium,https://redux-toolkit.js.org/
15,Performance,Use React.memo,Pure components,React.memo for pure components,No memoization,import { memo } from 'react'; const MyComponent = memo(() => { /* ... */ });,const MyComponent = () => { /* ... */ };,Medium,https://react.dev/reference/react/memo
16,Performance,Use React.lazy for code splitting,Code splitting,React.lazy for dynamic imports,No code splitting,import { lazy, Suspense } from 'react'; const LazyComponent = lazy(() => import('./LazyComponent')); <Suspense fallback={<Loading />}><LazyComponent /></Suspense>;,No dynamic imports,Medium,https://react.dev/reference/react/lazy
17,Performance,Use Suspense with lazy,Loading states,Suspense for lazy components,No loading states,import { Suspense } from 'react'; <Suspense fallback={<Loading />}><LazyComponent /></Suspense>;,<LazyComponent /> without Suspense,Medium,https://react.dev/reference/react/Suspense
18,Styling,Use CSS Modules,Scoped styles,CSS Modules for component styles,Global CSS for all,import styles from './MyComponent.module.css'; <div className={styles.container} />,<div className="container" /> with global CSS,Medium,https://create-react-app.dev/docs/adding-a-css-modules-stylesheet/
19,Styling,Use Tailwind CSS,Utility-first CSS,Tailwind for utility-first styling,Inline styles everywhere,className="text-center p-4",style={{ textAlign: 'center', padding: '1rem' }},Medium,https://tailwindcss.com/
20,Styling,Use CSS-in-JS for dynamic styles,Styled components,Styled-components or Emotion for dynamic styling,Inline styles for dynamic styles,import styled from 'styled-components'; const StyledDiv = styled.div` color: ${props => props.color}; `;,<div style={{ color: dynamicColor }} />,Medium,https://styled-components.com/
21,Forms,Use React Hook Form,Form handling,React Hook Form for form state,Manual form state,import { useForm } from 'react-hook-form'; const { register, handleSubmit } = useForm();,const [formData, setFormData] = useState({}); const handleChange = (e) => setFormData({ ...formData, [e.target.name]: e.target.value });,Medium,https://react-hook-form.com/
22,Forms,Use Yup for validation,Form validation,Yup for schema validation,Manual validation,import { yupResolver } from '@hookform/resolvers/yup'; const resolver = yupResolver(schema);,const validate = (data) => { /* manual validation */ };,Medium,https://github.com/jquense/yup
23,Routing,Use React Router,Client-side routing,React Router for routing,Custom routing,import { BrowserRouter, Routes, Route } from 'react-router-dom'; <BrowserRouter><Routes><Route path="/" element={<Home />} /></Routes></BrowserRouter>,Custom routing logic,High,https://reactrouter.com/en/main
24,Networking,Use fetch API,HTTP requests,fetch for API calls,XMLHttpRequest,const response = await fetch('https://api.example.com'); const data = await response.json();,const xhr = new XMLHttpRequest();,Medium,https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API/Using_Fetch
25,Networking,Use React Query for async state,Async data,React Query for API state management,Fetch + useState/useEffect,import { useQuery } from '@tanstack/react-query'; const { data } = useQuery({ queryKey: ['data'], queryFn: fetchData });,const [data, setData] = useState(null); useEffect(() => { fetchData().then(setData); }, []);,Medium,https://tanstack.com/query/v4/docs/react/overview
26,Testing,Use React Testing Library,Component testing,React Testing Library for component tests,Enzyme,import { render, screen } from '@testing-library/react'; test('renders', () => { render(<MyComponent />); expect(screen.getByText('Hello')).toBeInTheDocument(); });,import { shallow } from 'enzyme'; shallow(<MyComponent />);,Medium,https://testing-library.com/docs/react-testing-library/intro/
27,Testing,Use Jest for unit tests,Unit testing,Jest for unit/function tests,Other test runners,test('adds 1 + 2 to equal 3', () => { expect(1 + 2).toBe(3); });,Other test framework,Medium,https://jestjs.io/
28,Accessibility,Use semantic HTML,Semantic markup,Proper HTML elements,div soup,<main className="container">...</main>,<div className="container">...</div>,High,https://developer.mozilla.org/en-US/docs/Glossary/Semantics
29,Accessibility,Use alt text,Image accessibility,Descriptive alt text for images,Empty alt text,<img src="image.jpg" alt="A cat sitting on a windowsill" />,<img src="image.jpg" alt="" /> or no alt attribute,High,https://developer.mozilla.org/en-US/docs/Web/API/HTMLImageElement/alt
30,Accessibility,Use aria attributes,ARIA roles,aria-label, aria-labelledby for accessibility,No ARIA for interactive elements,<button aria-label="Close">X</button>,<button>X</button> without label,Medium,https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA
31,Accessibility,Use focus management,Keyboard accessibility,Proper focus handling,No focus management,const ref = useRef(null); useEffect(() => { ref.current?.focus(); }, []);,<div tabIndex={0} /> without focus handling,Medium,https://react.dev/learn/managing-focus-headings-and-lists
32,Error Handling,Use Error Boundaries,React error handling,ErrorBoundary for catching errors,No error handling,import { ErrorBoundary } from 'react-error-boundary'; <ErrorBoundary FallbackComponent={ErrorFallback}>{/* ... */}</ErrorBoundary>,No error boundary wrapping,Medium,https://react.dev/reference/react/Component#catching-rendering-errors-with-an-error-boundary
33,TypeScript,Use TypeScript,Type safety,TypeScript for type safety,JavaScript only,const MyComponent: React.FC<Props> = ({ prop1, prop2 }) => { /* ... */ };,const MyComponent = ({ prop1, prop2 }) => { /* ... */ };,High,https://react.dev/learn/typescript
34,TypeScript,Use interfaces/types,Type definitions,Define interfaces for props/state,No type definitions,interface Props { prop1: string; prop2: number; };,No type annotations,Medium,https://www.typescriptlang.org/docs/handbook/2/objects.html
35,TypeScript,Use strict mode,Strict type checking,"strict": true in tsconfig.json,Loose TypeScript settings,"strict": true in tsconfig.json,"strict": false in tsconfig.json,High,https://www.typescriptlang.org/tsconfig#strict
36,Performance,Use React DevTools,Debugging,React DevTools for debugging,Console.log for all debugging,Use React DevTools to inspect component tree,console.log(componentProps);,Medium,https://react.dev/learn/react-developer-tools
37,Performance,Use Profiler,Performance analysis,React Profiler for performance monitoring,No performance analysis,import { Profiler } from 'react'; <Profiler id="App" onRender={onRender}>{/* ... */}</Profiler>,No performance monitoring,Medium,https://react.dev/reference/react/Profiler
38,Code Quality,Use ESLint,Code linting,ESLint for code quality,No linting,npx eslint src/,No ESLint configuration,Medium,https://eslint.org/
39,Code Quality,Use Prettier,Code formatting,Prettier for code formatting,Manual formatting,npx prettier --write src/,No Prettier configuration,Medium,https://prettier.io/
40,Code Quality,Use Husky,Pre-commit hooks,Husky for git hooks,No pre-commit checks,npx husky add .husky/pre-commit "npx eslint src/",No git hooks,Medium,https://typicode.github.io/husky/
41,Build,Use Vite,Fast builds,Vite for fast development/builds,CRA for new projects,npx create-vite@latest my-app -- --template react,create-react-app my-app,Medium,https://vitejs.dev/guide/
42,Build,Use Webpack,Configurable builds,Webpack for complex build configurations,Custom build scripts,module.exports = { /* webpack config */ };,Custom bash build scripts,Medium,https://webpack.js.org/
43,Deployment,Use Netlify/Vercel,Easy deployment,Netlify or Vercel for React apps,Manual deployment,npx vercel deploy,Manual FTP deployment,Medium,https://vercel.com/guides/deploying-react-with-vercel
44,Security,Use HTTPS,Secure connections,HTTPS for all network requests,HTTP in production,const response = await fetch('https://api.example.com');,const response = await fetch('http://api.example.com');,High,https://developer.mozilla.org/en-US/docs/Web/Security/HTTP_strict_transport_security
45,Security,Sanitize user input,Prevent XSS,Sanitize user-generated content,Trust all user input,import DOMPurify from 'dompurify'; const cleanHtml = DOMPurify.sanitize(dirtyHtml);,<div dangerouslySetInnerHTML={{ __html: userContent }} /> without sanitization,High,https://www.npmjs.com/package/dompurify
