No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
27,TypeScript,Use App Router types,Type safety for App Router,import type { Metadata } from 'next';,No type imports,export const metadata: Metadata = { /* ... */ },export const metadata = { /* ... */ },Medium,https://nextjs.org/docs/app/api-reference/typescript
28,Middleware,Use middleware for routing,Middleware for redirects/auth,app/middleware.ts for middleware,No middleware strategy,export function middleware(request: NextRequest) { /* ... */ },Custom routing logic in components,Medium,https://nextjs.org/docs/app/building-your-application/routing/middleware
29,Security,Use server components for sensitive data,Server-side rendering for security,Sensitive data in Server Components,Client components for secrets,async function Page() { const user = await getUser(); },const user = getClientSideUser(); // sensitive data,High,https://nextjs.org/docs/app/building-your-application/routing/pages-and-layouts#server-components
30,Security,Use CSRF protection,Cross-site request forgery,Next.js built-in CSRF protection,No CSRF protection,NextResponse.json({ ok: true }, { headers: { 'Set-Cookie': 'name=value; SameSite=Lax' } }),Cookies without SameSite attribute,High,https://nextjs.org/docs/pages/building-your-application/security#cross-site-request-forgery-csrf
31,Performance,Use React cache,React 18 cache,React.cache for expensive functions,No caching for expensive operations,const fetchData = React.cache(async () => await fetch('https://api.example.com'));,Expensive functions called multiple times,Medium,https://react.dev/reference/react/cache
32,Performance,Use bundle analyzer,Analyze bundle size,next-bundle-analyzer for bundle analysis,No bundle optimization,npm run analyze with next-bundle-analyzer,No bundle analysis,Medium,https://nextjs.org/docs/app/building-your-application/optimizing/bundle-analyzer
33,Accessibility,Use semantic HTML,Semantic markup,proper HTML elements,div soup,<main className="container">...</main>,<div className="container">...</div>,High,https://developer.mozilla.org/en-US/docs/Glossary/Semantics
34,Accessibility,Use alt text,Image accessibility,descriptive alt text for images,Empty alt text,<Image src="/image.jpg" alt="A cat sitting on a windowsill" />,<Image src="/image.jpg" alt="" />,High,https://developer.mozilla.org/en-US/docs/Web/API/HTMLImageElement/alt
35,Accessibility,Use aria attributes,Accessibility attributes,aria-label for interactive elements,No aria attributes,<button aria-label="Close">X</button>,<button>X</button> without label,Medium,https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA
36,Error Handling,Use error.tsx,Next.js error boundaries,app/error.tsx for error handling,No error boundaries,'use client'; export default function Error({ error, reset }) { return <div>Error: {error.message}</div>; },No error handling,Medium,https://nextjs.org/docs/app/api-reference/file-conventions/error
37,Error Handling,Use not-found.tsx,404 pages,app/not-found.tsx for 404s,No 404 page,export default function NotFound() { return <div>404 - Page Not Found</div>; },No not-found.tsx,Medium,https://nextjs.org/docs/app/api-reference/file-conventions/not-found
38,Performance,Use experimental.optimizePackageImports,Optimize dependencies,experimental.optimizePackageImports in next.config.js,No dependency optimization,/** @type {import('next').NextConfig} */ const nextConfig = { experimental: { optimizePackageImports: ['lucide-react'] } }; module.exports = nextConfig;,No optimizePackageImports,Medium,https://nextjs.org/docs/app/api-reference/next-config-js/optimize-package-imports
39,Performance,Use server actions,Next.js server actions,async function action() { 'use server'; /* ... */ },Client-side only mutations,'use server'; export async function createPost(data: FormData) { /* ... */ },Client-side fetch for mutations,Medium,https://nextjs.org/docs/app/api-reference/functions/server-actions
40,Performance,Use cache for server actions,Cache server actions,export async function getData() { 'use server'; return cache(async () => await fetch(...))(); },No caching for server actions,'use server'; export async function getData() { return await fetch('https://api.example.com'); },Server actions without caching,Medium,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions#caching-server-actions
